Tweet,TextBlob Polarity,TextBlob Score,Vader Polarity,Vader Score
Se «Trump Wants His Coronavirus Failures to Be “Quickly Forgotten”: A Closer Look» på YouTube https://t.co/aiQGy6zJIU,Positive,0.27,negative,-0.6
"RT @DearAuntCrabby: Judge orders MGM to hand over 'Celebrity Apprentice' Trump tapes

THIS could be fun!

 https://t.co/5kOILwOyra",Positive,0.3,positive,0.76
"RT @RickMad: ‘The Woman in Michigan’ Goes National  https://t.co/8rjhptjCeG via @politico

Propaganda marketing...and people buy it as ""new…",Positive,0.02,negative,-0.25
"RT @RealJamesWoods: Why did Democrats go so crazy in 2016? Well, follow the money. Trump’s greatest strength is that he sees America’s poli…",Positive,0.2,positive,0.8
"RT @jilevin: Dr. Lance Dodes on Trump: A ""predator"" who ""would be in prison"" if he hadn't been born rich https://t.co/o2QAj8bIt4",Positive,0.38,positive,0.08
@PalmerReport Such a bummer.  I was so happy yesterday to see them NOT air Trump.,Positive,0.4,positive,0.27
RT @atti_cus: 3]Shortage of PPEs72 days after the first case was detected in India. Isn't responsible? 4] Did Modi govt not waste time in T…,Positive,0.18,negative,-0.36
"RT @BreitbartNews: Nearly 40,000 people have landed in the United States from China on almost 280 flights since President Donald Trump’s Fe…",Positive,0.1,positive,0.42
"RT @morethanmySLE: Reporter: Your doctors are in doubt about re-opening the country on May 1.

Trump: I have nothing but great respect. I t…",Positive,0.8,negative,-0.81
"RT @RWPUSA: Stephen Miller is helping Jared Kushner with the coronavirus response.
And we're still guessing why so many African Americans a…",Positive,0.25,positive,0.3
"RT @StephenKing: Is it true that the only hotel in Vegas not donating rooms and food to caregivers is Trump International?
#CaptainTrumps",Positive,0.12,positive,0.42
"RT @maddow: Good luck, America.

""Administration officials say the White House has made a deliberate political calculation that it will bet…",Positive,0.23,positive,0.71
"We are the #NotMeUs Movement, Joe Biden. You see us. You Hear us. You know what we want. There is more than just er… https://t.co/70KM9Cjl1N",Positive,0.5,positive,0.08
"['FabbysDelights;rep. @jerrynadler (d-ny) wisely takes key step toward possible impeachment:;West Palm Beach', ' FL & NYC;99;867;0;en;-80.0533746;26.7153424;United States; ; ']",Positive,0.23,positive,0.68
"['SeeThroughWeb;get others to tell your story', ' and more personal branding lessons from president trump;Toronto', ' Canada;43;0;0;en;-79.3831843;43.653226;Canada;sadness; ']",Positive,0.25,negative,-0.44
"[""MVHannigan;i can pretty much regulate my morning by president trump's tweets on @realdonaldtrump ... they always come during the same time frame.; ;724;0;0;en;-100.113952;76.250578;Arctic; ; ""]",Positive,0.15,positive,0.49
"[""realestatesuzzi;@realdonaldtrump @nytimes keep them honest! i love it i can't get enough of it. :-) thank you president trump! :-) i just love saying that!; ;71;0;0;en;-100.113952;76.250578;Arctic;joy; ""]",Positive,0.48,positive,0.96
"['McMcIntoshed;president trump slams ""hero"" mccain: ""look at the mess our country is in"";Enfield', ' London;1035;0;0;en-gb;-0.0807119;51.6522994;United Kingdom of Great Britain and Northern Ireland;joy; ']",Positive,0.48,positive,0.92
['janathe9s;watch: federal appeals court refuses to reinstate president trumpâ€™s travel ban;UK;832;9;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland; ; '],Positive,0.8,positive,0.51
['connellycs;president trump exhibits classic signs of mental illness: shrinks;Frederick MD via KY DC VA;1099;0;0;en;-100.113952;76.250578;Arctic; ; '],Positive,0.03,negative,-0.4
"['bearcub101;now croatia is mocking president trumpâ€™s â€˜america firstâ€™ with a hilarious viral video;Los Angeles', ' CA;40;0;0;en;-118.2436849;34.0522342;United States;joy; ']",Positive,0.52,positive,0.77
['shillstudios;@realdonaldtrump @nytimes god bless you president trump.  keep fighting the good fight!;Atlanta;215;0;0;en;-84.3879824;33.7489954;United States;joy; '],Positive,0.75,positive,0.85
['Darodi;airline ceos are optimistic following talk with president trump - skift;New York;808;0;0;en;-74.0059413;40.7127837;United States; ; '],Positive,0.07,positive,0.62
"['moetmac1020;@metalmoccha @geierman777 no i voted for president trump;New York', ' USA;121;0;0;en;-74.0059413;40.7127837;United States; ; ']",Positive,0.14,positive,0.42
"[""Fuck_Trump_Bot;@impeach_d_trump you should impeach all you fucking assholes. president trump is the best.if you don't like it get the fucâ€¦; ;250;1;0;en;-100.113952;76.250578;Arctic;joy; ""]",Positive,0.2,positive,0.44
['ejoy2270;americans are furiousðŸ˜\xa0 impeach these liberal judgesðŸ’©  they care more about refugees  than americansðŸ”Š president trump trâ€¦; ;2614;9;0;en;-100.113952;76.250578;Arctic;joy; '],Positive,0.65,positive,0.51
"['lisaskov;from the podium', "" @seanspicer just made clear judge gorsuch wasn't talking about president trump. makes an already weak answâ€¦; ;20;257;0;en;-100.113952;76.250578;Arctic;joy; ""]",Positive,0.18,positive,0.54
"['DaveD1420;@realdonaldtrump @nytimes president trump', ' you sound like a baby.;Grand Forks', ' ND;125;0;0;en;-97.0328547;47.9252568;United States;joy; ']",Positive,0.57,positive,0.9
"[""Voke_O;an 8-year-old american girl was killed in president trump's first military operation.;United Kingdom;790;3608;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland; ; ""]",Positive,0.14,positive,0.64
"[""Rubin0737;@newday @richcasa i don't think president trump became the president to get rich"", ' i think he is the president because of his success!; ;24;0;0;en;-100.113952;76.250578;Arctic;sadness; ']",Positive,0.34,positive,0.66
['Christo03568494;president trump is making satire great again;PRESTON UK;109;148;0;en;-2.70309;53.763201;United Kingdom of Great Britain and Northern Ireland;joy; '],Positive,0.8,positive,0.94
"['Kilroy80401;president trump: ""i\'ve learned a lot in the last 2 weeks and terrorism is a far greater threat than the people of our countryâ€¦;Golden', ' CO;177;2894;0;en;-105.2210997;39.755543;United States; ; ']",Positive,0.22,negative,-0.57
"['JoaoSAlbergaria;""itâ€™s really tricky now as satire has become reality', 'â€\x9d trey parker', ' creator of...; ;55;0;0;pt;-100.113952;76.250578;Arctic; ; ']",Positive,0.2,positive,0.44
['AlbertSteinII;president trump could walk on water and the left and the establishment would complain that he got the soles of hisâ€¦;USA;128;0;0;en;-95.712891;37.09024;United States;joy; '],Positive,0.4,positive,0.62
"['DotLolly;""many muslims opposed to radical islam welcome president trump\'s order. it\'s very pragmatic"" ~ @missdiagnosis   #travelbanâ€¦; ;1764;968;0;en;-100.113952;76.250578;Arctic; ; ']",Positive,0.5,positive,0.46
"['PaulOwenRec2Rec;@realdonaldtrump @hillaryclinton keep going president trump', "" with each of your successes ld's are going lower + showing their true colours.;England"", ' United Kingdom;1350;0;0;en;-1.1743197;52.3555177;United Kingdom of Great Britain and Northern Ireland; ; ']",Positive,0.57,positive,0.93
"['Debbieelsberry;@realdonaldtrump @nytimes standing behind you president trump. people need to respect you and that starts with media . #maga;Paris', ' IL;90;0;0;en;-87.6961374;39.611146;United States;joy; ']",Positive,0.2,positive,0.87
['Bill46122502;through all this bashing & all ur hard work to date u r standing strong u r the greatest president of all time feel the luâ€¦; ;297;3;0;en;-100.113952;76.250578;Arctic; ; '],Positive,0.38,positive,0.8
['DavidReveal;president trump who convincingly won the election should form a community to investigate hillary clinton and lock her up. lock her up; ;3;0;0;en;-100.113952;76.250578;Arctic; ; '],Positive,0.5,positive,0.38
"[""MarcusNoble16;@govinslee my families security is at risk because gov. inslee don't like president trump; ;0;0;0;en;-100.113952;76.250578;Arctic;joy; ""]",Positive,0.8,positive,0.77
"['Amyloukingery;wife of wounded warrior meets with president trump', "" proposes 'real solutions' for va;Virginia;15157;1;0;en;-78.6568942;37.4315734;United States; ; ""]",Positive,0.2,positive,0.54
"['pennyman441966;@kellyannepolls @ap i support both you & president trump. keep up the good work;Tennessee', ' USA;38;0;0;en;-86.5804473;35.5174913;United States;joy; ']",Positive,0.75,positive,0.9
"['DrummerTW366;""54% of americans disapprove of the job president trump is doing', ' or as betsy devos calls that', ' one-third."" -- @sethmeyers hâ€¦;Glenpool', ' Ok;37;319;0;en;-96.0088843;35.9553737;United States; ; ']",Positive,0.25,positive,0.61
"[""vincebayless;ha! awesome!appeals court rules against president trump's travel ban;Tatooine;285;0;0;en;10.4508956;32.9210902;Republic of Tunisia; ; ""]",Positive,1.0,positive,0.44
"['BSAFunds;yahoofinance: live: president trump called chinaâ€™s xi jinping', ' commits to â€˜one chinaâ€™ policy spyjared; ;21452;0;0;en;-100.113952;76.250578;Arctic;joy; ']",Positive,0.47,positive,0.6
"['ravikumar_8484;poll: 95% of americans who voted for president trump approve of his performance in the presidency so far  (public policâ€¦;Rajkot', ' India;1047;314;0;en;70.8021599;22.3038945;Republic of India;joy; ']",Positive,0.3,positive,0.59
"['norwin55;president trumpâ€™s infatuation with vladimir putin is deeply troublesome. americans deserve to know whatâ€™s behind it. httpsâ€¦;Harrisburg', ' Pennsylvania;646;923;0;en;-76.8867008;40.2731911;United States;joy; ']",Positive,0.13,positive,0.56
"['Milcal_Anatmcl;president trump signs three new executive orders on crime reduction;Arkansas', ' USA;360;129;0;en;-91.8318334;35.20105;United States; ; ']",Positive,0.14,negative,-0.18
"['Jordan_FHT;live: president trump to meet with japanâ€™s pm shinzo abe. @spyjared talks about their rocky relationship;Chelsea', ' London;233;5;0;en-gb;-0.174936;51.485093;United Kingdom of Great Britain and Northern Ireland;joy; ']",Positive,0.58,positive,0.89
['Donna_pas;@foxnation @foxnews time for a new executive order president trump...#keepussafe; ;19;0;0;en;-100.113952;76.250578;Arctic; ; '],Positive,0.14,neutral,0.0
"['Smart3DWeb;president trump - new world order in reverse ( inauguration ) 2017 pope francis;Louisville', ' Kentucky', ' USA;3024;1;0;en;-85.7584557;38.2526647;United States; ; ']",Positive,0.14,positive,0.42
"[""mallyskok;are you ok with several patriots' decisions to skip white house visit with president trump? yes perfectly ok with it;Boston;13627;0;0;en;-71.0588801;42.3600825;United States; ; ""]",Positive,0.25,positive,0.92
"['Richieamx;the 9th circuit has no authority to rule on an executive order by president trump! the law is very clear that trump isâ€¦;Missouri', ' USA;3722;149;0;en;-91.8318334;37.9642529;United States; ; ']",Positive,0.13,positive,0.69
"['HannahChapter1;on thursday night', ' president trumpâ€™s immigration ban met another major defeat in court.; ;471;41;0;en;-100.113952;76.250578;Arctic; ; ']",Positive,0.06,negative,-0.78
"[""hellomike69;@impeach_d_trump you should impeach all you fucking assholes. president trump is the best.if you don't like it get the fuck out you assholes; Pennsylvania ;3;0;0;en;-77.1945247;41.2033216;United States;joy; ""]",Positive,0.2,positive,0.23
['Qionisolo;the latest episode of can he do that: should president trump be spending weekends at mar-a-lago?; ;118;4;0;en;-100.113952;76.250578;Arctic; ; '],Positive,0.5,neutral,0.0
"['USb4russia;survey: 83% of us mayors expect trump will cause either ""some harm"" or ""major harm"" on affordable housing; ;733;14;0;en;-100.113952;76.250578;Arctic;joy; ']",Positive,0.43,negative,-0.54
['liszewsk;on march 15th mail president trump a postcard that expresses support to him.the white house 1600 pennsylvania avenue nwâ€¦;Beautiful Pa;4151;6;0;en;-77.8571306;40.7868269;United States; ; '],Positive,0.42,positive,0.86
"['Coleby_;thank you president trump for appointing a leader who understandsðŸ‘‰ðŸ\x8f» ""islam is like a malignant cancer that has metastasizedâ€\x9d -â€¦;United States;449;428;0;en;-95.712891;37.09024;United States;joy; ']",Positive,0.8,positive,0.92
['OhMySuzieQ;@realdonaldtrump @nytimes i love your news media president trump. i pray for you and our nation everyday.; ;24;0;0;en;-100.113952;76.250578;Arctic;joy; '],Positive,0.37,positive,0.88
"[""Don_Rivers1;watch as obama assaults supreme court during 2010 sotu. now tell us president trump's attack is unprecedented.;Upstate NY;698;31;0;en;-73.9865533;40.7263542;United States; ; ""]",Positive,0.6,negative,-0.05
"['Maxa_FHT;rt yahoofinance: live: president trump to meet with japanâ€™s pm shinzo abe. spyjared talks about their rocky relatiâ€¦;London', ' UK;314;0;0;en;-0.1277583;51.5073509;United Kingdom of Great Britain and Northern Ireland;joy; ']",Positive,0.58,positive,0.89
"['MegMcCloskey;literally the 1st sentence of the nyt story: ""president trump told president xi jinping of china on thursday evening ...â€¦;New York;4961;4;0;en;-74.0059413;40.7127837;United States; ; ']",Positive,0.14,positive,0.48
"['kenc2001;breaking: federal court stands in the way of trump exec order  kenneth', '  president trump is fighting to keep the...;New York;34109;0;0;en;-74.0059413;40.7127837;United States; ; ']",Positive,0.14,positive,0.08
['Morpheyous;(via;Grand Island NY;759;0;0;en;-78.9657302;43.0216283;United States; ; '],Positive,0.5,positive,0.7
['RETTinol;@realdonaldtrump the american people love you president trumpâ\x9d¤ðŸ‡ºðŸ‡¸ stay strong! these idiot judges/media/hollywood are the minorityðŸ˜¡ðŸ‘ŽðŸ\x8f»ðŸ’©; ;3353;0;0;en;-100.113952;76.250578;Arctic;joy; '],Positive,0.19,positive,0.92
"['SnowyinChi;under armour ceo says president trump is a ""real asset""  steph curry: ""i agreeâ€¦ if you remove the \'et\' from asset"";Chicago', ' IL;144;677;0;en;-87.6297982;41.8781136;United States; ; ']",Positive,0.2,positive,0.85
"['PaulaPowell5;under armour described president trump as ""a real asset"" to the country. then stephen curry responded.; ;51;435;0;en;-100.113952;76.250578;Arctic; ; ']",Positive,0.2,positive,0.36
['fiscalconserve;is this @ap attempt to delegitimize president trump by using a pic of alec baldwin as trump? #mediabias #fakenewsâ€¦;United States;920;0;0;en;-95.712891;37.09024;United States;joy; '],Positive,0.8,positive,0.86
"[""thus_spake;president trump on friday morning ripped into an appeals court's decision to reject his executive order on immig...;England"", ' Great Britain.;2477;0;0;en;-1.1743197;52.3555177;United Kingdom of Great Britain and Northern Ireland; ; ']",Positive,0.8,positive,0.85
['YAlhethali;president trump needs to be reminded that its great friend - australia - is not a doormat for the usa #auspol @realdonalâ€¦;Ù…Ù„Ø¨ÙˆØ±Ù† ØŒ Ø§Ø³ØªØ±Ø§Ù„ÙŠØ§;54;173;0;ar;144.963056;-37.813611;Commonwealth of Australia;joy; '],Positive,0.8,positive,0.9
"[""karkusistrange;.  dear president trump  it's friday"", ' feb. 10', ' 2017  this is our daily ""thank you""  sincerely the american people  @realâ€¦; ;26;20;0;en;-100.113952;76.250578;Arctic; ; ']",Positive,0.17,positive,0.8
['Ohliad;us allies worry about joint intel operations under presidentÂ\xa0trump; ;114;0;0;uk;-100.113952;76.250578;Arctic;joy; '],Positive,0.8,positive,0.23
['UKStartupEvents;watch live: president trump holds joint press conference with japanese prime minister 1 pm et;UK;10657;1;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland;joy; '],Positive,0.43,positive,0.89
"[""AtheistWWonka;@realdonaldtrump @nytimes trust no one. tell us about the aliens president trump. what's in area 51;New York"", ' USA;14883;0;1;en;-74.0059413;40.7127837;United States; ; ']",Positive,0.14,positive,0.73
['Trinity_1;@realdonaldtrump @nytimes thank you president trump for working so hard to protect our country!!! you are supported by the majority!!!â\x9d¤;Mid-West;950;0;0;en;-106.2800242;43.4113604;United States;joy; '],Positive,0.17,positive,0.95
"['angel7731;@realdonaldtrump @nytimes president trump ignore those who lie about you! stay strong! make america great again!;Fort Wayne', ' IN;93;0;0;en;-85.1393513;41.079273;United States;joy; ']",Positive,0.68,positive,0.91
['everSoTweetly4u;americans trust trump administration more than news media in new poll; FLORIDA & TEXAS ;1755;4;0;en;-81.5157535;27.6648274;United States; ; '],Positive,0.32,positive,0.73
"['twigsr1960;have you noticed president trump is proud of his exec. orders and signs them on tv', ' unlike the other guy who signed theâ€¦;South Carolina', ' USA;58;142;0;en;-81.1637245;33.836081;United States;joy; ']",Positive,0.49,positive,0.87
['davidkinneytu;anglers to @potus â€” veto resolution that overturns #streamprotectionrule and protect #cleanwater; ;35;40;0;en;-100.113952;76.250578;Arctic;joy; '],Positive,0.8,positive,0.75
"[""edavid57edavid;the victim of president trump's latest twitter attack? democratic senator richard blumenthal.; ;671;133;0;es;-100.113952;76.250578;Arctic; ; ""]",Positive,0.21,negative,-0.64
"['aliostad;on annivesary of iranian revoution', ' hardliners quite grateful to president trump for his tough language & some hope heâ€¦;UK;1084;1;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland; ; ']",Positive,0.21,positive,0.91
"['Irishgir70;grand #president #trump removes debris', ' a lot of dust', ' visible path to prosperity rich #america!; ;1422;31;0;en;-100.113952;76.250578;Arctic; ; ']",Positive,0.44,positive,0.77
['ESharples67;@realdonaldtrump thank you president trump. most of us get it.; ;0;0;0;en;-100.113952;76.250578;Arctic;sadness; '],Positive,0.5,negative,-0.1
"RT @CBSThisMorning: Most Americans continue to think the battle against the coronavirus outbreak is going badly, and few would feel comfort…",Negative,-0.13,negative,-0.49
"RT @KathyAnTw: In 5-4 ruling, Supreme Court allows Trump plan to deny green cards to those who may need government aid https://t.co/MAi0k4R…",Negative,-0.2,positive,0.3
Poor Trump - inherited a broken system of testing from Obama that didn't have a test for a virus that had not been… https://t.co/3owB2iUPoR,Negative,-0.4,negative,-0.74
"RT @NatHale1776: . @NicolleDWallace @MSNBC 

#trump’s idiotic claim the United States leads the world in #COVID19 testing is belied by the…",Negative,-0.67,negative,-0.2
RT @IngrahamAngle: Setting aside New York and a few others cities—America’s COVID numbers are basically on par with Germany’s. Trump’s firs…,Negative,-0.03,neutral,0.0
"RT @margery: 🛑 STOP 🛑 GIVING TRUMP FREE AirTime.
This is exactly what happened in 2016.
Stop 🛑 putting imbecile Trump on television! https:…",Negative,-0.05,neutral,-0.04
"RT @Yamiche: President Trump at the White House just now: ""This monster came and worked its horrible, horrible spell.""",Negative,-0.67,negative,-0.79
RT @thebradfordfile: President Trump is willing to make the difficult decisions while facing an unhinged opposition. Balancing the virus an…,Negative,-0.12,negative,-0.36
RT @PalmerReport: This is the worst Trump press conference since yesterday.,Negative,-1.0,negative,-0.62
"RT @CAPAction: Other countries responded quickly and aggressively to combat the spread of coronavirus.

Trump failed to do the same—and now…",Negative,-0.07,negative,-0.79
"RT @JoshuaPotash: Trump is using coronavirus to destroy America.

He’s axing oversight.

He’s questioning vote by mail.

He’s helping Ameri…",Negative,-0.2,negative,-0.4
RT @Shem_Infinite: Jim Acosta asks the same stupid loaded question he did back when it was originally 15 days to slow the spread. Asking Pr…,Negative,-0.14,negative,-0.53
"Don't like Joe Biden? Trust me, you'll like fascism a lot less. VOTE.
https://t.co/lptBT1OLri",Negative,-0.17,positive,0.81
"RT @AmoneyResists: I’m getting a lot of angry MAGA people shouting that “the mass graves are not Trump’s fault!”

YES. THEY ARE. The corona…",Negative,-0.5,negative,-0.58
RT @BernieSanders: As Martin Luther King Jr. said in 1968: This country has socialism for the rich and rugged individualism for the poor. h…,Negative,-0.01,positive,0.13
['Flwrgirl66x;congress must not allow president trump to unleash a dangerous and costly nuclear arms race.; ;245;5672;0;en;-100.113952;76.250578;Arctic; ; '],Negative,-0.6,negative,-0.38
"['sunezzell;anne frank center calls out trump and house republicans for ""anti-semitismâ€\x9d over holocaust statement;California;377;127;0;en;-119.4179324;36.778261;United States; ; ']",Negative,-0.1,positive,0.65
['adamssakick;soros: â€˜i will take down president trumpâ€™; ;319;0;0;en;-100.113952;76.250578;Arctic; ; '],Negative,-0.16,neutral,0.0
"[""COMRADEBLOOM;president trump: don't legalize hateful discrimination; ;299;0;0;en;-100.113952;76.250578;Arctic;anger; ""]",Negative,-0.7,negative,-0.78
['gcc954;president trump is sticking to his game plan despite the dems trying to block everything he is making progress and americans stand with him;Northeast  U.S.;207;0;0;en;-99.9018131;41.4925374;United States;anger; '],Negative,-0.55,positive,0.51
['LegInsurrection;president trump must not back down on immigration executive order; ;23320;0;0;en;-100.113952;76.250578;Arctic; ; '],Negative,-0.08,neutral,0.0
"['Ileanarig;vulnerable senate democrats: democratic senators who are up for re-election in 2018 from states where president trump woâ€¦;Weston', ' FL;53;165;0;en;-80.3997748;26.1003654;United States; ; ']",Negative,-0.5,positive,0.23
['LochTheScot;reporting from my basket:  we the american people who voted 4 president trump had enough of the liberal shit...it shouâ€¦;Western PA;2437;50;0;en;-80.0198957;40.4510694;United States; ; '],Negative,-0.05,negative,-0.2
"['jameskfan;@realdonaldtrump @nytimes i hate the lying media president trump.;High Ridge', ' MO;174;0;0;en;-90.5365126;38.4589432;United States;anger; ']",Negative,-0.45,negative,-0.84
"['DonaldLBean1;@greta @msnbc president trump has the authority! time to go to the supreme court! sick of these liberal', ' activists judâ€¦; ;22;2;0;en;-100.113952;76.250578;Arctic;disgust; ']",Negative,-0.71,negative,-0.51
['nickie_greer;@brianstelter @realdonaldtrump @ethanklapper is it your fear president trump will make a decision based off of a networks fake news/cnn?;In your face. ;8509;0;0;en;-96.8110457;33.0987479;United States;fear; '],Negative,-0.5,negative,-0.77
"['the626killa;president trump slams mccain on his criticism of military raid on yemenðŸ‡¾ðŸ‡ª  hear his tweet #mccain #trumppresident httpâ€¦;Worcester', ' MA;3818;349;0;en;-71.8022934;42.2625932;United States; ; ']",Negative,-0.1,neutral,-0.03
['Trinity_1;@realdonaldtrump @nytimes thank you president trump for standing up against the fake news of trashy nyt!!! â\x9d¤;Mid-West;950;0;0;en;-106.2800242;43.4113604;United States; ; '],Negative,-0.25,positive,0.72
"['asnakeofjuly;despite earlier remarks', ' president trump promised china\'s president u.s. will stick to the ""one-china"" doctrine;Chicago', ' IL;15;27;0;en;-87.6297982;41.8781136;United States;anger; ']",Negative,-0.35,positive,0.15
['cornellierdonn2;president trump [never come down]; ;125;0;0;en;-100.113952;76.250578;Arctic; ; '],Negative,-0.16,neutral,0.0
['bellsan15;president trump backed away from what could have been a serious fight with china over its one-china policy:;Massachusetts;117;5;0;en;-71.3824374;42.4072107;United States; ; '],Negative,-0.33,neutral,0.0
['Casperventer;#manypeoplearesaying there is something psychologically wrong with the president.;Canada;1137;143;0;en;-106.346771;56.130366;Canada; ; '],Negative,-0.5,negative,-0.48
"['MNBonnie;chaffetz: ""so president trump..."" drowned out by boos. #chaffetztownhall; ;462;234;0;en;-100.113952;76.250578;Arctic; ; ']",Negative,-0.1,negative,-0.6
['badbadzoot;boycott @amazon for not supporting president trumpâ€™s immigration executive order.  #boycottamazon #maga #tcot #ccot;earth;18;4;0;en;-102.4107493;34.2331373;United States; ; '],Negative,-0.12,positive,0.53
"['jpiresf;""thank you for calling the white house comment line. the comment line is currently closedâ€¦â€\x9d; ;1288;0;0;pt;-100.113952;76.250578;Arctic; ; ']",Negative,-0.05,positive,0.74
"['CfrWayne;president trump slams mccain\'s raid failure comments: ""look at the mess our country is in"";Washington', ' DC;1251;10;0;en;-77.0368707;38.9071923;United States; ; ']",Negative,-0.25,negative,-0.46
"['H_Hawkes16;soros: â€˜i will take down president trumpâ€™. analyst - ""soros a wounded beast', ' bent on revenge"".;Texas', ' USA;3951;88;0;en;-99.9018131;31.9685988;United States;anger; ']",Negative,-0.43,negative,-0.65
"['zimbabwekid;why president trump seeks to build up terror fears where other presidents sought to soothe;Dallas', ' TX;112699;1;0;en;-96.7969879;32.7766642;United States;fear; ']",Negative,-0.12,negative,-0.22
"['GaryRandone;@realdonaldtrump @nytimes thank you president trump for keeping the people informed of the facts;Long Island', ' NY;10;0;0;en;-73.134961;40.789142;United States; ; ']",Negative,-0.05,positive,0.65
"[""JpadiJj;@realdonaldtrump @nytimes thank you sir. expose all these fake media's. we support president trump.; ;7;0;0;en;-100.113952;76.250578;Arctic; ; ""]",Negative,-0.5,positive,0.13
"['Pammyfl;@davidgmcafee @realdonaldtrump get a grip! you will never take down president trump! pack and leave!;Port Orange', ' Florida;178;0;0;en;-80.9956105;29.1383165;United States;sadness; ']",Negative,-0.16,negative,-0.08
"RT @Shem_Infinite: ""I'm concerned about everything, that's why I don't sleep a lot."" President Trump confirming that he stays awake all nig…",Neutral,0.0,neutral,0.0
"RT @rexxurection: 2. Nothing surprises me anymore, except Trump's genius.

A G Barr has now publicly admitted that what's unfolding is the…",Neutral,0.0,negative,-0.07
"RT @jonfavs: Americans are staying home and sacrificing in order to give the federal government time to come up with a post-lockdown plan,…",Neutral,0.0,neutral,0.0
