Tweet,TextBlob Polarity,TextBlob Score,Vader Polarity,Vader Score
"['McMcIntoshed;president trump slams ""hero"" mccain: ""look at the mess our country is in"";Enfield', ' London;1035;0;0;en-gb;-0.0807119;51.6522994;United Kingdom of Great Britain and Northern Ireland;joy;neutral']",Positive,0.31,Positive,0.74
['janathe9s;watch: federal appeals court refuses to reinstate president trumpâ€™s travel ban;UK;832;9;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland;unknown;neutral'],Positive,0.8,Positive,0.62
['connellycs;president trump exhibits classic signs of mental illness: shrinks;Frederick MD via KY DC VA;1099;0;0;en;-100.113952;76.250578;Arctic;unknown;neutral'],Positive,0.03,Negative,-0.4
"['bearcub101;now croatia is mocking president trumpâ€™s â€˜america firstâ€™ with a hilarious viral video;Los Angeles', ' CA;40;0;0;en;-118.2436849;34.0522342;United States;joy;neutral']",Positive,0.5,Neutral,0.0
['shillstudios;@realdonaldtrump @nytimes god bless you president trump.  keep fighting the good fight!;Atlanta;215;0;0;en;-84.3879824;33.7489954;United States;joy;positive'],Positive,0.7,Positive,0.68
['ejoy2270;americans are furiousðŸ˜\xa0 impeach these liberal judgesðŸ’©  they care more about refugees  than americansðŸ”Š president trump trâ€¦;unknown;2614;9;0;en;-100.113952;76.250578;Arctic;joy;positive'],Positive,0.5,Positive,0.49
"['DaveD1420;@realdonaldtrump @nytimes president trump', ' you sound like a baby.;Grand Forks', ' ND;125;0;0;en;-97.0328547;47.9252568;United States;joy;positive']",Positive,0.4,Positive,0.36
"[""Voke_O;an 8-year-old american girl was killed in president trump's first military operation.;United Kingdom;790;3608;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland;unknown;positive""]",Positive,0.15,Negative,-0.1
"[""Rubin0737;@newday @richcasa i don't think president trump became the president to get rich"", ' i think he is the president because of his success!;unknown;24;0;0;en;-100.113952;76.250578;Arctic;sadness;positive']",Positive,0.38,Positive,0.6
['Christo03568494;president trump is making satire great again;PRESTON UK;109;148;0;en;-2.70309;53.763201;United Kingdom of Great Britain and Northern Ireland;joy;positive'],Positive,0.8,Positive,0.85
"['Kilroy80401;president trump: ""i\'ve learned a lot in the last 2 weeks and terrorism is a far greater threat than the people of our countryâ€¦;Golden', ' CO;177;2894;0;en;-105.2210997;39.755543;United States;unknown;negative']",Positive,0.2,Negative,-0.76
"['JoaoSAlbergaria;""itâ€™s really tricky now as satire has become reality', 'â€\x9d trey parker', ' creator of...;unknown;55;0;0;pt;-100.113952;76.250578;Arctic;unknown;negative']",Positive,0.2,Negative,-0.22
"['DotLolly;""many muslims opposed to radical islam welcome president trump\'s order. it\'s very pragmatic"" ~ @missdiagnosis   #travelbanâ€¦;unknown;1764;968;0;en;-100.113952;76.250578;Arctic;unknown;positive']",Positive,0.5,Positive,0.46
"['PaulOwenRec2Rec;@realdonaldtrump @hillaryclinton keep going president trump', "" with each of your successes ld's are going lower + showing their true colours.;England"", ' United Kingdom;1350;0;0;en;-1.1743197;52.3555177;United Kingdom of Great Britain and Northern Ireland;unknown;positive']",Positive,0.57,Positive,0.9
['Bill46122502;through all this bashing & all ur hard work to date u r standing strong u r the greatest president of all time feel the luâ€¦;unknown;297;3;0;en;-100.113952;76.250578;Arctic;unknown;positive'],Positive,0.38,Positive,0.8
['DavidReveal;president trump who convincingly won the election should form a community to investigate hillary clinton and lock her up. lock her up;unknown;3;0;0;en;-100.113952;76.250578;Arctic;unknown;negative'],Positive,0.5,Positive,0.74
"['Amyloukingery;wife of wounded warrior meets with president trump', "" proposes 'real solutions' for va;Virginia;15157;1;0;en;-78.6568942;37.4315734;United States;unknown;positive""]",Positive,0.2,Positive,0.18
"['pennyman441966;@kellyannepolls @ap i support both you & president trump. keep up the good work;Tennessee', ' USA;38;0;0;en;-86.5804473;35.5174913;United States;joy;positive']",Positive,0.7,Positive,0.68
"['BSAFunds;yahoofinance: live: president trump called chinaâ€™s xi jinping', ' commits to â€˜one chinaâ€™ policy spyjared;unknown;21452;0;0;en;-100.113952;76.250578;Arctic;joy;positive']",Positive,0.14,Neutral,0.03
"['ravikumar_8484;poll: 95% of americans who voted for president trump approve of his performance in the presidency so far  (public policâ€¦;Rajkot', ' India;1047;314;0;en;70.8021599;22.3038945;Republic of India;joy;positive']",Positive,0.05,Neutral,0.0
"['Milcal_Anatmcl;president trump signs three new executive orders on crime reduction;Arkansas', ' USA;360;129;0;en;-91.8318334;35.20105;United States;unknown;neutral']",Positive,0.14,Negative,-0.54
"['Jordan_FHT;live: president trump to meet with japanâ€™s pm shinzo abe. @spyjared talks about their rocky relationship;Chelsea', ' London;233;5;0;en-gb;-0.174936;51.485093;United Kingdom of Great Britain and Northern Ireland;joy;negative']",Positive,0.8,Positive,0.62
['Donna_pas;@foxnation @foxnews time for a new executive order president trump...#keepussafe;unknown;19;0;0;en;-100.113952;76.250578;Arctic;unknown;positive'],Positive,0.14,Neutral,0.0
"['Smart3DWeb;president trump - new world order in reverse ( inauguration ) 2017 pope francis;Louisville', ' Kentucky', ' USA;3024;1;0;en;-85.7584557;38.2526647;United States;unknown;positive']",Positive,0.14,Neutral,0.0
"[""mallyskok;are you ok with several patriots' decisions to skip white house visit with president trump? yes perfectly ok with it;Boston;13627;0;0;en;-71.0588801;42.3600825;United States;unknown;positive""]",Positive,0.25,Positive,0.88
"['Richieamx;the 9th circuit has no authority to rule on an executive order by president trump! the law is very clear that trump isâ€¦;Missouri', ' USA;3722;149;0;en;-91.8318334;37.9642529;United States;unknown;positive']",Positive,0.13,Positive,0.45
"['HannahChapter1;on thursday night', ' president trumpâ€™s immigration ban met another major defeat in court.;unknown;471;41;0;en;-100.113952;76.250578;Arctic;unknown;neutral']",Positive,0.06,Negative,-0.78
['Qionisolo;the latest episode of can he do that: should president trump be spending weekends at mar-a-lago?;unknown;118;4;0;en;-100.113952;76.250578;Arctic;unknown;positive'],Positive,0.5,Neutral,0.0
"['USb4russia;survey: 83% of us mayors expect trump will cause either ""some harm"" or ""major harm"" on affordable housing;unknown;733;14;0;en;-100.113952;76.250578;Arctic;joy;positive']",Positive,0.06,Negative,-0.81
['OhMySuzieQ;@realdonaldtrump @nytimes i love your news media president trump. i pray for you and our nation everyday.;unknown;24;0;0;en;-100.113952;76.250578;Arctic;joy;neutral'],Positive,0.5,Positive,0.76
"['Maxa_FHT;rt yahoofinance: live: president trump to meet with japanâ€™s pm shinzo abe. spyjared talks about their rocky relatiâ€¦;London', ' UK;314;0;0;en;-0.1277583;51.5073509;United Kingdom of Great Britain and Northern Ireland;joy;negative']",Positive,0.47,Positive,0.62
['RETTinol;@realdonaldtrump the american people love you president trumpâ\x9d¤ðŸ‡ºðŸ‡¸ stay strong! these idiot judges/media/hollywood are the minorityðŸ˜¡ðŸ‘ŽðŸ\x8f»ðŸ’©;unknown;3353;0;0;en;-100.113952;76.250578;Arctic;joy;neutral'],Positive,0.03,Positive,0.67
"['SnowyinChi;under armour ceo says president trump is a ""real asset""  steph curry: ""i agreeâ€¦ if you remove the \'et\' from asset"";Chicago', ' IL;144;677;0;en;-87.6297982;41.8781136;United States;unknown;positive']",Positive,0.2,Positive,0.36
"['PaulaPowell5;under armour described president trump as ""a real asset"" to the country. then stephen curry responded.;unknown;51;435;0;en;-100.113952;76.250578;Arctic;unknown;positive']",Positive,0.2,Positive,0.36
"[""thus_spake;president trump on friday morning ripped into an appeals court's decision to reject his executive order on immig...;England"", ' Great Britain.;2477;0;0;en;-1.1743197;52.3555177;United Kingdom of Great Britain and Northern Ireland;unknown;neutral']",Positive,0.8,Positive,0.76
['YAlhethali;president trump needs to be reminded that its great friend - australia - is not a doormat for the usa #auspol @realdonalâ€¦;Ù…Ù„Ø¨ÙˆØ±Ù† ØŒ Ø§Ø³ØªØ±Ø§Ù„ÙŠØ§;54;173;0;ar;144.963056;-37.813611;Commonwealth of Australia;joy;positive'],Positive,0.8,Positive,0.81
"[""karkusistrange;.  dear president trump  it's friday"", ' feb. 10', ' 2017  this is our daily ""thank you""  sincerely the american people  @realâ€¦;unknown;26;20;0;en;-100.113952;76.250578;Arctic;unknown;positive']",Positive,0.17,Positive,0.8
['UKStartupEvents;watch live: president trump holds joint press conference with japanese prime minister 1 pm et;UK;10657;1;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland;joy;positive'],Positive,0.31,Positive,0.62
"['angel7731;@realdonaldtrump @nytimes president trump ignore those who lie about you! stay strong! make america great again!;Fort Wayne', ' IN;93;0;0;en;-85.1393513;41.079273;United States;joy;neutral']",Positive,0.62,Positive,0.78
['everSoTweetly4u;americans trust trump administration more than news media in new poll; FLORIDA & TEXAS ;1755;4;0;en;-81.5157535;27.6648274;United States;unknown;positive'],Positive,0.32,Positive,0.51
"['twigsr1960;have you noticed president trump is proud of his exec. orders and signs them on tv', ' unlike the other guy who signed theâ€¦;South Carolina', ' USA;58;142;0;en;-81.1637245;33.836081;United States;joy;neutral']",Positive,0.34,Positive,0.48
"[""edavid57edavid;the victim of president trump's latest twitter attack? democratic senator richard blumenthal.;unknown;671;133;0;es;-100.113952;76.250578;Arctic;unknown;negative""]",Positive,0.21,Negative,-0.64
"['aliostad;on annivesary of iranian revoution', ' hardliners quite grateful to president trump for his tough language & some hope heâ€¦;UK;1084;1;0;en;-3.435973;55.378051;United Kingdom of Great Britain and Northern Ireland;unknown;neutral']",Positive,0.21,Positive,0.87
"['Irishgir70;grand #president #trump removes debris', ' a lot of dust', ' visible path to prosperity rich #america!;unknown;1422;31;0;en;-100.113952;76.250578;Arctic;unknown;positive']",Positive,0.38,Positive,0.6
['ESharples67;@realdonaldtrump thank you president trump. most of us get it.;unknown;0;0;0;en;-100.113952;76.250578;Arctic;sadness;neutral'],Positive,0.5,Positive,0.36
"RT @gayleasher1: Donald J Trump is a POS!  

Trump thinks we’re all as stupid as his MAGA cult.

If he’d done what he should, our Govenors…",Negative,-0.8,Negative,-0.57
"Unfortunately you also intentionally rejected millions of W.H.O. test kits resulting in 1,000’s of our people dying… https://t.co/Q2YZlRE8u8",Negative,-0.5,Negative,-0.69
"@SallyDeal4 @WhiteHouse @realDonaldTrump And last but never the least, YOUR President John F. Kennedy  left his cha… https://t.co/1n8WajPwGM",Negative,-0.1,Neutral,0.0
"RT @Amy_Siskind: Under Donald J Trump, we have gone from global superpower to reacting like a less developed country.  Lying is not a strat…",Negative,-0.02,Negative,-0.16
RT @ThePubliusUSA: The Navarro memoranda will be Exhibits 1 and 2 in Donald J. Trump’s criminal homicide trial concerning his response to C…,Negative,-0.4,Negative,-0.53
['Flwrgirl66x;congress must not allow president trump to unleash a dangerous and costly nuclear arms race.;unknown;245;5672;0;en;-100.113952;76.250578;Arctic;unknown;negative'],Negative,-0.6,Negative,-0.63
"['sunezzell;anne frank center calls out trump and house republicans for ""anti-semitismâ€\x9d over holocaust statement;California;377;127;0;en;-119.4179324;36.778261;United States;unknown;positive']",Negative,-0.1,Neutral,0.0
['adamssakick;soros: â€˜i will take down president trumpâ€™;unknown;319;0;0;en;-100.113952;76.250578;Arctic;unknown;positive'],Negative,-0.16,Neutral,0.0
"[""Fuck_Trump_Bot;@impeach_d_trump you should impeach all you fucking assholes. president trump is the best.if you don't like it get the fucâ€¦;unknown;250;1;0;en;-100.113952;76.250578;Arctic;joy;negative""]",Negative,-0.6,Negative,-0.74
['gcc954;president trump is sticking to his game plan despite the dems trying to block everything he is making progress and americans stand with him;Northeast  U.S.;207;0;0;en;-99.9018131;41.4925374;United States;anger;negative'],Negative,-0.4,Neutral,-0.03
['LegInsurrection;president trump must not back down on immigration executive order;unknown;23320;0;0;en;-100.113952;76.250578;Arctic;unknown;positive'],Negative,-0.08,Neutral,0.0
"['lisaskov;from the podium', "" @seanspicer just made clear judge gorsuch wasn't talking about president trump. makes an already weak answâ€¦;unknown;20;257;0;en;-100.113952;76.250578;Arctic;joy;positive""]",Negative,-0.14,Negative,-0.08
"['jameskfan;@realdonaldtrump @nytimes i hate the lying media president trump.;High Ridge', ' MO;174;0;0;en;-90.5365126;38.4589432;United States;anger;negative']",Negative,-0.8,Negative,-0.8
"['Debbieelsberry;@realdonaldtrump @nytimes standing behind you president trump. people need to respect you and that starts with media . #maga;Paris', ' IL;90;0;0;en;-87.6961374;39.611146;United States;joy;positive']",Negative,-0.4,Positive,0.48
"['DonaldLBean1;@greta @msnbc president trump has the authority! time to go to the supreme court! sick of these liberal', ' activists judâ€¦;unknown;22;2;0;en;-100.113952;76.250578;Arctic;disgust;positive']",Negative,-0.71,Positive,0.29
['nickie_greer;@brianstelter @realdonaldtrump @ethanklapper is it your fear president trump will make a decision based off of a networks fake news/cnn?;In your face. ;8509;0;0;en;-96.8110457;33.0987479;United States;fear;negative'],Negative,-0.5,Negative,-0.74
"['the626killa;president trump slams mccain on his criticism of military raid on yemenðŸ‡¾ðŸ‡ª  hear his tweet #mccain #trumppresident httpâ€¦;Worcester', ' MA;3818;349;0;en;-71.8022934;42.2625932;United States;unknown;neutral']",Negative,-0.1,Negative,-0.44
['Trinity_1;@realdonaldtrump @nytimes thank you president trump for standing up against the fake news of trashy nyt!!! â\x9d¤;Mid-West;950;0;0;en;-106.2800242;43.4113604;United States;unknown;neutral'],Negative,-0.78,Negative,-0.36
['bellsan15;president trump backed away from what could have been a serious fight with china over its one-china policy:;Massachusetts;117;5;0;en;-71.3824374;42.4072107;United States;unknown;negative'],Negative,-0.33,Negative,-0.42
['Casperventer;#manypeoplearesaying there is something psychologically wrong with the president.;Canada;1137;143;0;en;-106.346771;56.130366;Canada;unknown;negative'],Negative,-0.5,Negative,-0.48
"['norwin55;president trumpâ€™s infatuation with vladimir putin is deeply troublesome. americans deserve to know whatâ€™s behind it. httpsâ€¦;Harrisburg', ' Pennsylvania;646;923;0;en;-76.8867008;40.2731911;United States;joy;neutral']",Negative,-0.2,Negative,-0.46
"['MNBonnie;chaffetz: ""so president trump..."" drowned out by boos. #chaffetztownhall;unknown;462;234;0;en;-100.113952;76.250578;Arctic;unknown;positive']",Negative,-0.1,Negative,-0.6
"[""hellomike69;@impeach_d_trump you should impeach all you fucking assholes. president trump is the best.if you don't like it get the fuck out you assholes; Pennsylvania ;3;0;0;en;-77.1945247;41.2033216;United States;joy;negative""]",Negative,-0.5,Negative,-0.93
['badbadzoot;boycott @amazon for not supporting president trumpâ€™s immigration executive order.  #boycottamazon #maga #tcot #ccot;earth;18;4;0;en;-102.4107493;34.2331373;United States;unknown;neutral'],Negative,-0.12,Negative,-0.18
"['CfrWayne;president trump slams mccain\'s raid failure comments: ""look at the mess our country is in"";Washington', ' DC;1251;10;0;en;-77.0368707;38.9071923;United States;unknown;negative']",Negative,-0.25,Negative,-0.7
"['H_Hawkes16;soros: â€˜i will take down president trumpâ€™. analyst - ""soros a wounded beast', ' bent on revenge"".;Texas', ' USA;3951;88;0;en;-99.9018131;31.9685988;United States;anger;negative']",Negative,-0.16,Neutral,0.0
"['zimbabwekid;why president trump seeks to build up terror fears where other presidents sought to soothe;Dallas', ' TX;112699;1;0;en;-96.7969879;32.7766642;United States;fear;negative']",Negative,-0.12,Negative,-0.74
"[""JpadiJj;@realdonaldtrump @nytimes thank you sir. expose all these fake media's. we support president trump.;unknown;7;0;0;en;-100.113952;76.250578;Arctic;unknown;neutral""]",Negative,-0.5,Positive,0.13
['Trinity_1;@realdonaldtrump @nytimes thank you president trump for working so hard to protect our country!!! you are supported by the majority!!!â\x9d¤;Mid-West;950;0;0;en;-106.2800242;43.4113604;United States;joy;positive'],Negative,-0.46,Positive,0.79
"['Pammyfl;@davidgmcafee @realdonaldtrump get a grip! you will never take down president trump! pack and leave!;Port Orange', ' Florida;178;0;0;en;-80.9956105;29.1383165;United States;sadness;negative']",Negative,-0.16,Neutral,0.0
"RT @BMcAdory9: 🚨Breaking News Alert 🚨 

President @realDonaldTrump announces that the United States Of America will be withholding money fr…",Neutral,0.0,Positive,0.61
MY VOTE COUNTS &amp; IT’S GOING TO PRESIDENT DONALD J. TRUMP!! 🇺🇸🇺🇸🇺🇸 https://t.co/msAuRdcfjS https://t.co/bN6BQxCO5F,Neutral,0.0,Neutral,0.0
RT @KaiyaMcdowell: Donald J. Trump: PROTECT INCARCERATED COMMUNITIES FROM COVID-19 - Sign the Petition! https://t.co/oH4J5zf1xo via @Change,Neutral,0.0,Positive,0.56
"RT @EntheosShines: @menandwomen123 arrests 
https://t.co/GeHo7dJV8D

judges
https://t.co/bTDD4HKZ3B

media
https://t.co/j9Vaz51sT1

Post Is…",Neutral,0.0,Negative,-0.44
RT @KaiyaMcdowell: Donald J. Trump: PARENTS WITH CHILDREN OVER THE AGE OF 16 SHOULD RECEIVE THE $500 STIMULUS CREDIT - Sign the Petition! h…,Neutral,0.0,Positive,0.56
"🚨Breaking News Alert 🚨 

President @realDonaldTrump announces that the United States Of America will be withholding… https://t.co/0NShRJgNbr",Neutral,0.0,Positive,0.61
"RT @russthny: @RepLoisFrankel @tinyboo49 Upon learning that the stock market was in decline as a result of the COVID-19 Pandemic, Donald J.…",Neutral,0.0,Neutral,0.0
RT @veytia_jorge: @MyManMap2020 @stlpcs @SonicDeanBoom @MAmaro14006544 @deplorabledocs @DayleyGary @mom2JPbaseball @bernadette_diab @TrumpC…,Neutral,0.0,Neutral,0.0
RT @veytia_jorge: @nancyrwe @stlpcs @SonicDeanBoom @MAmaro14006544 @deplorabledocs @DayleyGary @mom2JPbaseball @bernadette_diab @TrumpCa577…,Neutral,0.0,Neutral,0.0
"@realDonaldTrump TRUMP STOP DISRESPECTING AMERICANS! TRUMP, STOP LYING ON THE DAM MEDICATIONS, YOU ARE KILLING AMER… https://t.co/sNeVCX93zl",Neutral,0.0,Negative,-0.95
RT @veytia_jorge: @FredP72 @stlpcs @SonicDeanBoom @MAmaro14006544 @deplorabledocs @DayleyGary @mom2JPbaseball @bernadette_diab @TrumpCa5772…,Neutral,0.0,Neutral,0.0
RT @veytia_jorge: @TrumpSupport13 @stlpcs @SonicDeanBoom @MAmaro14006544 @deplorabledocs @DayleyGary @mom2JPbaseball @bernadette_diab @Trum…,Neutral,0.0,Neutral,0.0
RT @WHPublicPool: President Donald J. Trump Approves Minnesota Disaster Declaration https://t.co/expG17Q0OG,Neutral,0.0,Negative,-0.34
Donald J. Trump: Kick China out of the World Trade Organization - Sign the Petition! https://t.co/13QzrgP8mE via @UKChange,Neutral,0.0,Neutral,0.0
"RT @AtomicAnalyst: BREAKING NEWS: US individual taxpayers ""will look at ending funding"" of the Donald J. Trump administration because they…",Neutral,0.0,Neutral,0.0
Que todos estén alerta  con el.presidente Donald J Trump  ahora quiere $3000 si andan manejando  que cabrones  por… https://t.co/jz7dxDKhLY,Neutral,0.0,Neutral,0.0
RT @veytia_jorge: @stlpcs @SonicDeanBoom @MAmaro14006544 @deplorabledocs @DayleyGary @mom2JPbaseball @bernadette_diab @TrumpCa57729417 @Jef…,Neutral,0.0,Neutral,0.0
RT @bethlahem16: @realDonaldTrump 🙏Heavens Father Holy God Jesus Christ my Lord Strengthen My President Donald J Trump That he may complete…,Neutral,0.0,Positive,0.53
WASHINGTON (The Borowitz Report)—People should get in the habit of thoroughly disinfecting their televisions after… https://t.co/uDDja8ozXF,Neutral,0.0,Neutral,0.0
US Präsident Donald J. Trump bestätigt Rettung von Frauen und Kindern! https://t.co/bexLIREH1F via @YouTube,Neutral,0.0,Neutral,0.0
"Ustedes escucharon el discurso de la Unión? Sí, ese que Nancy Pelosi destruyó! Bien pues en ese discurso nuestro Pr… https://t.co/NmBtLrhCxb",Neutral,0.0,Neutral,0.0
"RT @electionsmith: @peterbakernyt On March 9, 2020, Donald J. Trump requested a VBM ballot from the Palm Beach County, Florida, Supervisor…",Neutral,0.0,Neutral,0.0
"@Andy_Staples Upon learning that the stock market was in decline as a result of the COVID-19 Pandemic, Donald J. Tr… https://t.co/yy9PUWYh0n",Neutral,0.0,Neutral,0.0
"🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

         🇺🇸DONALD J. TRUMP🇺🇸
     🇺🇸BEST PRESIDENT EVER🇺🇸

🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/uvIvr9R9a1",Neutral,0.0,Neutral,0.0
"@RepLoisFrankel @tinyboo49 Upon learning that the stock market was in decline as a result of the COVID-19 Pandemic,… https://t.co/D2wcItbjWB",Neutral,0.0,Neutral,0.0
"RT @middleageriot: Harry Truman: ""The buck stops here.""

Donald Trump: ""It's Barack Obama's fault. It's the CDC's fault. It's the WHO's fau…",Neutral,0.0,Negative,-0.72
"@Pmcknightnews @MsActiviss Upon learning that the stock market was in decline as a result of the COVID-19 Pandemic,… https://t.co/lnuCxVvEjx",Neutral,0.0,Neutral,0.0
RT @veytia_jorge: @stlpcs @BulldogLoyalty @Mitten_Kitten__ @PierattChris @assembly63 @joyfaithstreng @WalterODim8 @kdfunke63 @RBW1926 @Prin…,Neutral,0.0,Neutral,0.0
"@Vamp_428 Upon learning that the stock market was in decline as a result of the COVID-19 Pandemic, Donald J. Trump… https://t.co/taGCOOfwXA",Neutral,0.0,Neutral,0.0
"@CivRightsVoices Upon learning that the stock market was in decline as a result of the COVID-19 Pandemic, Donald J.… https://t.co/NKLEesMEvg",Neutral,0.0,Neutral,0.0
"I’m just kidding, I don’t know anything about her 2nd amendment ideology, just her unwavering support for our savio… https://t.co/LEObsQbT2w",Neutral,0.0,Positive,0.48
@realDonaldTrump @seanhannity @FoxNews Upon learning that the stock market was in decline as a result of the COVID-… https://t.co/IoZe01cjxK,Neutral,0.0,Neutral,0.0
RT @EggiesFamily: @RepAdamSchiff DONALD J TRUMP IS MY PRESIDENT https://t.co/2LPP0qXH3F,Neutral,0.0,Neutral,0.0
@RepAdamSchiff DONALD J TRUMP IS MY PRESIDENT https://t.co/2LPP0qXH3F,Neutral,0.0,Neutral,0.0
"@Liberty4Canada @globalnews Trump's racism:
https://t.co/LNM7JhmVXm

Trump mocks handicapped reporter:… https://t.co/6lToIbL2H0",Neutral,0.0,Negative,-0.8
"RT @JamesMelville: Donald Trump reportedly owns a stake in a company that produces hydroxychloroquine, the anti-malaria drug he has repeate…",Neutral,0.0,Neutral,0.0
['name;text;location;followers;retweets;favorites;lang;lon;lat;country;emotions;polarity'],Neutral,0.0,Neutral,0.0
['Nexus7900;liberal alert!  21 days ... and guess what!  president trump is still your president. ðŸ‘\x8dðŸ\x8f»ðŸ‘\x8fðŸ\x8f»ðŸ‘ŠðŸ\x8f»ðŸ‡ºðŸ‡¸;unknown;9781;4;0;en;-100.113952;76.250578;Arctic;fear;positive'],Neutral,0.0,Positive,0.42
['jamibethanne;.@repbilljohnson congress must step up and overturn president trumpâ€™s discriminatory #eo banning #immigrants & #refugees #oxfam4refugees;unknown;3;0;0;en;-100.113952;76.250578;Arctic;unknown;negative'],Neutral,0.0,Neutral,0.0
"['A_Broham;""president trump agreed', ' at the request of president xi', ' to honor our \'one china\' policy.""  ordered around by the president ofâ€¦;unknown;217;290;0;en;-100.113952;76.250578;Arctic;unknown;positive']",Neutral,0.0,Positive,0.65
['Lempp7;@asmith83 @rwpusa do you consider this intimidation or an act of exposing the left who is doing everything to boycott president trump? think;unknown;21;0;0;en;-100.113952;76.250578;Arctic;fear;neutral'],Neutral,0.0,Negative,-0.77
"['1flwpbmll;president trump tweets: ""see you in court""  wa state ag responds: ""we\'ve seen him in court twice', ' and we\'re 2 for 2"";The Palm Beaches;246;679;0;en;-80.0796397;26.7256817;United States;unknown;positive']",Neutral,0.0,Neutral,0.0
"['PMarnash;president trump', ' after losing in court', ' says he will see the court. in court.;Chicago', ' IL;88;5219;0;en;-87.6297982;41.8781136;United States;unknown;positive']",Neutral,0.0,Negative,-0.38
['KevinJacksonTBS;so #republicans about to blow up #9th #9thcir;unknown;49687;2;3;en;-100.113952;76.250578;Arctic;unknown;negative'],Neutral,0.0,Neutral,0.0
